Quantity,Designator,Comment,Footprint,Supplier Part Number 1

"1","B1","Multicomp MCRM2015S","","1520397"
"2","C1, C13","22uF/10V X5R","1210","2497183"
"1","C2","10uF/50V X7R","1210","2362133"
"2","C3, C4","47uF/50V","C_D8","1850121"
"1","C5","470pF/50V","0805","1520294"
"3","C6, C11, C15","100n","0805","2470437"
"1","D2","Bourns CDNBS04","SOD-106","1899476"
"1","D3","15V","SOD123","1843720"
"1","D4","4V3","SOD123","2077927"
"1","D5","4V7","SOD123","1902435"
"1","D6","Schottky","SOD123","2284963"
"2","D7, D11","PLCC2 LED","PLCC2","2450615"
"1","D14","MARL-4LED","MARL-4LED","9737367"
"1","F2","MF-USMF020-2","1210F","1294883"
"1","L1","SRN5040-100M","SRN5040","2428234"
"3","L2, L5, L6","1k @ 100MHz","0805","1635737"
"1","M1","FDV301N","SOT23","9845011"
"4","Q1, Q2, Q3, Q4","BC807","SOT23","2319246"
"1","Q5","BC817","SOT23","1081223"
"3","R1, R2, R28","33k","0805","9333053"
"2","R4, R9","100?","0805","9332375"
"2","R5, R8","4k7","0805","9333266"
"2","R6, R23","330?","0805","9333037"
"1","R7","39?","0805","9333193"
"1","R10","220?","0805","9332804"
"1","R11","10k","0805","9332391"
"8","R12, R14, R15, R16, R19, R22, R26, R29","1k5","0805","9332600"
"1","R13","150k","0805","9332626"
"4","R24, R30, R32, R35","15k","0805","9332618"
"2","R33, R36","0?","0805","9233750"
"1","U1","LMR62421XMF","SOT23_5","2064678"
"2","U2, U3","HCPL-181","HCPL-181","1244525"
"1","U4","PIC16F88-I/SO","SOIC18","9761519"
"1","U8","NODEMCU v2","NODEMCU",""
"2","X2, X3","1x2","Terminal_2x3.5mm","1098611"
