Quantity,Designator,Comment,Footprint,Center-X(mm),Center-Y(mm),Rotation,Layer

"1","B1","Multicomp MCRM2015S","","0","0","0","None"
"1","C7","47uF/50V","C_D8","28.35","81.15","180","Top"
"1","C8","22uF/10V X5R","1210","28.825","74.375","90","Top"
"1","C9","10uF/50V X7R","1210","32.15","75.15","90","Top"
"1","C10","0.22uF/10V X7R","0805","37.8","71.95","0","Top"
"1","C11","100n","0805","38.4","54.3","90","Top"
"1","C12","22uF/10V X5R","1210","47.5","79.8","270","Top"
"1","C14","100n","0805","50.3","80.2","90","Top"
"1","D1","Schottky","SOD123","3.7","67.2","90","Top"
"1","D2","Bourns CDNBS04","SOD-106","5.8","40.7","0","Top"
"1","D3","15V","SOD123","5.9","47.7","90","Top"
"1","D4","4V3","SOD123","7.6","52.2","0","Top"
"1","D5","4V7","SOD123","9.8","40.6","90","Top"
"1","D7","PLCC2 LED","PLCC2","24.4","41.6","0","Top"
"1","D8","PLCC2 LED","PLCC2","26","32","270","Top"
"1","D9","PLCC2 LED","PLCC2","33","32","270","Top"
"1","D10","Schottky","SOD123","34.7","74.2","270","Top"
"1","D11","PLCC2 LED","PLCC2","38.9","41.6","0","Top"
"1","D12","PLCC2 LED","PLCC2","40","32","270","Top"
"1","D13","PLCC2 LED","PLCC2","47","32","270","Top"
"1","F1","MF-USMF020-2","1210F","3.4","33.9","0","Top"
"1","L3","SRN5040-100M","SRN5040","32.925","69.4","180","Top"
"1","L4","1k @ 100MHz","0805","43.8","81.1","180","Top"
"1","L5","1k @ 100MHz","0805","44","55.2","0","Top"
"1","M1","FDV301N","SOT23","49","53.2","90","Top"
"1","Q1","BC807","SOT23","3.85","59.275","0","Top"
"1","Q2","BC807","SOT23","7.05","59.275","0","Top"
"1","Q3","BC807","SOT23","9.6","46","270","Top"
"1","Q4","BC807","SOT23","10.25","59.275","180","Top"
"1","Q5","BC817","SOT23","13.4","59.275","180","Top"
"1","R1","33k","0805","4.3","56.175","180","Top"
"1","R2","33k","0805","4.2","62.375","0","Top"
"1","R3","0?","0805","6.075","67.525","270","Top"
"1","R4","100?","0805","8.5","56.175","0","Top"
"1","R5","4k7","0805","8.5","62.375","0","Top"
"1","R6","330?","0805","9.6","49.7","180","Top"
"1","R7","39?","0805","12.7","56.175","0","Top"
"1","R8","4k7","0805","12.75","62.375","180","Top"
"1","R9","100?","0805","13.9","43","180","Top"
"1","R10","220?","0805","13.9","45.3","0","Top"
"1","R12","1k5","0805","18.1","52.2","180","Top"
"1","R14","1k5","0805","21.6","45.9","270","Top"
"1","R15","1k5","0805","23.5","34.7","180","Top"
"1","R16","1k5","0805","30.5","34.7","180","Top"
"1","R17","1k5","0805","33.75","80.05","180","Top"
"1","R19","1k5","0805","37.5","34.7","180","Top"
"1","R20","330?","0805","37.75","77.75","0","Top"
"1","R21","330?","0805","37.75","80.05","180","Top"
"1","R22","1k5","0805","38.4","45.9","270","Top"
"1","R23","330?","0805","39.8","63.9","0","Top"
"1","R24","15k","0805","43.2","58.3","90","Top"
"1","R26","1k5","0805","44.5","34.7","180","Top"
"1","R28","33k","0805","45.1","72.4","0","Top"
"1","R29","1k5","0805","47.2","67.5","0","Top"
"1","R30","15k","0805","49.1","50.075","0","Top"
"1","R32","15k","0805","49.1","58.96","180","Top"
"1","R34","0?","0805","49.1","64.4","180","Top"
"1","R35","15k","0805","49.1","69.9","180","Top"
"1","R37","0?","0805","49.1","74.9","0","Top"
"1","U2","HCPL-181","HCPL-181","15.775","39.525","270","Top"
"1","U3","HCPL-181","HCPL-181","15.825","48.775","90","Top"
"1","U4","PIC16F88-I/SO","SOIC18","28.25","53.51","0","Top"
"1","U6","LMR14206","SOT23_6","37.85","74.75","90","Top"
"1","U7","USR-TCP232T","USR-TCP232-T","63.24","57.84","270","Top"
"1","X1","1x2","Terminal_2x3.5mm","5.25","28.8","0","Top"
"1","X2","1x2","Terminal_2x3.5mm","12.25","28.8","0","Top"
"1","X3","1x2","Terminal_2x3.5mm","19.25","28.8","0","Top"
